x_share,y_share
8.0468135e-06,-.000018329842
.000017119883,-.000038716837
.000024961462,-.000056104327
.000033314685,-.000073711504
.000051477429,-.00011167958
.000067954737,-.00014612438
.000089296555,-.00019073811
.0001075445,-.00022888432
.00012286147,-.00026090347
.00012421542,-.00026270724
.00012551875,-.00026444354
.00012682908,-.00026618916
.00012807586,-.00026785015
.00012934497,-.00026954088
.00013701397,-.00027890783
.00013881204,-.00028102758
.00014073527,-.00028310803
.00015879149,-.00030167922
.00017733096,-.00032074744
.00019704882,-.00034102768
.00021505159,-.00035950937
.00023448958,-.00037935423
.00027735427,-.00042075245
.00028800953,-.00043103774
.00029971625,-.00044232281
.00031040981,-.00045263127
.00032133039,-.00046315853
.00033317419,-.0004745606
.00038944586,-.00052806607
.00044049969,-.00057532761
.00049973652,-.00063010713
.00055943051,-.00068509782
.00061885564,-.00073983241
.00066966546,-.00078608905
.00073125464,-.00084163545
.00078966888,-.00089412497
.00079229486,-.00089646655
.00084953767,-.00094734807
.00087410375,-.00096908922
.0008966609,-.00098905235
.00092033198,-.0010100014
.00094702072,-.001033621
.0009700915,-.0010540389
.00099202362,-.0010728611
.0010159955,-.0010934341
.0010385201,-.0011127648
.0010621279,-.001133022
.0010839723,-.0011517663
.0012461391,-.0012873973
.0012691094,-.0013065959
.0012931289,-.0013266649
.0013163037,-.0013460043
.0013408497,-.0013664847
.0013648495,-.0013865094
.0015193537,-.0015145951
.0016003648,-.0015809943
.0017574073,-.0017082061
.0017600078,-.0017102851
.0017619362,-.001711826
.0019215959,-.0018385245
.002076386,-.001959149
.0021586248,-.0020226068
.0022138199,-.0020647701
.0022887227,-.0021218432
.0024036269,-.0022093442
.0025081998,-.0022888698
.002614185,-.0023692374
.002640421,-.0023890659
.0026494535,-.0023958622
.0027661538,-.0024835581
.0028672197,-.0025595056
.0028769602,-.0025668093
.0029365271,-.0026114604
.0030117068,-.0026676692
.0030889644,-.0027254021
.0031443511,-.0027666199
.0031711545,-.0027862282
.0031803523,-.0027929472
.0032065015,-.0028120195
.0032757076,-.0028620025
.0033461787,-.0029128296
.0034217634,-.0029673439
.003491164,-.0030173908
.0035657955,-.0030711603
.0036156008,-.0031068898
.0036618453,-.0031400649
.0037124178,-.0031763448
.0037584801,-.003209389
.0038059952,-.0032434757
.0038175541,-.0032517503
.00382025,-.0032536674
.0038231043,-.003255687
.0038258098,-.0032575941
.0038277318,-.0032589471
.0038564387,-.0032790231
.0038654965,-.0032853133
.0039415443,-.0033381055
.004010844,-.0033862034
.0040804208,-.0034344944
.0041553131,-.0034864745
.0042267703,-.0035359876
.0042382325,-.0035438463
.0042480975,-.0035505318
.0042801979,-.0035721292
.0043092533,-.0035915205
.0043245456,-.0036016672
.0043412591,-.003612757
.0043566055,-.0036229398
.0043731099,-.0036338912
.0043886756,-.0036442194
.004400447,-.0036519773
.0044307155,-.0036718701
.0045104432,-.0037236318
.004582189,-.003770211
.0046609771,-.0038213625
.0047329329,-.0038680779
.0048065083,-.0039158454
.0048225564,-.0039261379
.0048381956,-.0039361683
.0048550097,-.0039469525
.004872073,-.0039578965
.0048876638,-.0039678756
.0048980135,-.0039744508
.0049305125,-.0039950265
.0049874079,-.0040310333
.0050318609,-.0040591089
.0050736233,-.0040854849
.0051173922,-.0041131284
.0051578893,-.0041387053
.005198543,-.0041643288
.0052148532,-.004174605
.0052287346,-.0041833324
.0052426765,-.0041920985
.0052543776,-.0041994555
.005266964,-.0042073526
.0052908217,-.0042223162
.0053139124,-.0042367689
.0053377757,-.004251705
.0053622657,-.0042670332
.0053851968,-.0042813863
.005395472,-.0042877966
.0054543256,-.0043244022
.005512285,-.0043604514
.0055754096,-.0043997122
.005633207,-.0044355867
.0056955353,-.0044742655
.0056974036,-.0044754171
.0057271351,-.0044935555
.0057382178,-.0045002801
.0057468396,-.0045054979
.0057555716,-.0045107822
.0057635629,-.0045156074
.0057716998,-.0045205215
.0057797157,-.0045253513
.005789178,-.0045310068
.005798419,-.0045365305
.0058076642,-.0045420555
.0058175786,-.0045479815
.0058270874,-.0045536635
.0058875452,-.00458958
.0059352843,-.0046178671
.0060243979,-.0046703755
.006113416,-.0047228183
.0061237216,-.0047288574
.0061535561,-.0047462131
.0061647827,-.0047527165
.0062324367,-.0047916453
.0062369062,-.0047942121
.0063010198,-.0048310123
.0063641518,-.0048672487
.0064227823,-.004900902
.0064811758,-.004934411
.006541437,-.0049689226
.0065662125,-.0049831085
.0065925512,-.0049981894
.0066166818,-.0050120056
.0066407346,-.0050257463
.0066666831,-.0050405702
.0067259963,-.0050743935
.0068173069,-.0051262844
.0068853032,-.0051649013
.006952012,-.005202624
.0070189666,-.0052403561
.0070877722,-.0052790698
.0071610147,-.0053202701
.0072331633,-.0053607435
.0073204236,-.0054094428
.0073881429,-.0054471176
.0074122557,-.0054604895
.0074181613,-.0054637459
.0074239918,-.0054669608
.0075022746,-.0055100201
.0075515676,-.0055369544
.0076098726,-.0055686999
.0076152957,-.0055716485
.0076733278,-.0056031491
.0077271545,-.0056323386
.0077826227,-.0056624184
.0078408048,-.0056939702
.0078998655,-.00572599
.0079538757,-.0057552727
.0080489907,-.0058068163
.0081077525,-.0058386363
.0081616947,-.0058678468
.0082164444,-.0058974954
.0082702078,-.0059266086
.0083188098,-.0059529021
.0083661657,-.0059784381
.0084539568,-.006025726
.0084778303,-.0060385121
.0085021257,-.006051525
.0085273357,-.0060650241
.008551158,-.0060777762
.0085747419,-.0060904012
.0086754384,-.006144295
.0087475432,-.0061828485
.0088259624,-.0062245792
.0089124003,-.0062704962
.0089700436,-.0063010813
.0090303076,-.0063330536
.0090399319,-.0063381526
.0091254236,-.0063834456
.0092031918,-.0064245868
.0092085954,-.0064274408
.0092717353,-.0064607514
.0093266377,-.0064897034
.0093832258,-.0065193484
.0094425865,-.0065503912
.0094666434,-.0065629287
.0095217377,-.0065915841
.0095447628,-.0066035544
.0095693674,-.0066163451
.0095925974,-.0066284225
.0096166739,-.0066409362
.0096214125,-.0066433977
.0096695758,-.0066683372
.0097690104,-.0067197587
.0098256255,-.0067488635
.0098790657,-.0067763356
.0099364091,-.0068057403
.0099889161,-.0068326658
.010041582,-.0068596038
.010157517,-.0069186664
.010238961,-.0069601061
.010285663,-.0069838618
.01031673,-.006999664
.01036342,-.0070233648
.010436635,-.0070605124
.010485131,-.0070850942
.010531248,-.0071083852
.010593457,-.007139754
.010679943,-.0071833567
.010741789,-.0072141206
.010763584,-.0072249551
.010782063,-.0072340695
.010787562,-.0072367759
.0108105,-.0072480347
.010833642,-.0072593489
.010858153,-.0072713248
.01086615,-.0072752298
.010881012,-.0072824778
.010904978,-.0072941589
.010928963,-.0073058461
.010950218,-.0073161954
.011012889,-.0073466208
.011076515,-.007377509
.01113448,-.0074055749
.011194266,-.0074345227
.01125247,-.0074627036
.011278204,-.0074751261
.011290507,-.0074810334
.011303977,-.0074874996
.011316651,-.0074935812
.011328996,-.0074995011
.011339461,-.0075045186
.011352735,-.00751088
.01140987,-.0075380141
.011479506,-.0075709857
.011553631,-.0076060644
.011621395,-.0076381057
.011688909,-.0076700118
.011761928,-.0077044629
.011786017,-.0077158208
.011810587,-.0077273478
.011891959,-.0077655064
.011967197,-.0078007872
.012049804,-.0078395223
.01212532,-.0078749033
.012149342,-.0078861425
.012226946,-.0079224315
.012288419,-.0079511506
.012312461,-.007962361
.012335452,-.0079730609
.012350257,-.0079799369
.012374882,-.0079913624
.012398516,-.0080023222
.012421872,-.0080131209
.01251479,-.0080559785
.012537987,-.0080666728
.012553553,-.0080738422
.012567357,-.0080802003
.012580913,-.0080864429
.012678345,-.0081312573
.012777254,-.0081767514
.012867673,-.0082183415
.012925517,-.0082449177
.012940135,-.0082516288
.013030222,-.0082929488
.013117293,-.0083328076
.013200525,-.0083708018
.013286335,-.0084099723
.013373728,-.0084498227
.013457559,-.0084879817
.013542658,-.0085267192
.013566491,-.008537557
.013640847,-.0085712587
.01365444,-.0085773906
.013668919,-.0085839098
.013742978,-.0086170677
.013750608,-.0086204773
.013769086,-.0086287288
.013786386,-.0086364318
.013804612,-.0086445482
.013822614,-.0086525632
.0138401,-.0086603267
.013915297,-.0086936643
.013917337,-.0086945696
.013919436,-.008695499
.013921531,-.0086964276
.013987512,-.0087256301
.013989466,-.0087264944
.013997076,-.0087298471
.014018406,-.008739192
.014043038,-.0087499833
.014226673,-.0088303788
.014392079,-.008902777
.014571974,-.0089814188
.01473981,-.0090547521
.014900828,-.0091250427
.015062558,-.0091955978
.015064649,-.0091965087
.015135338,-.0092272367
.015194758,-.0092530521
.015374236,-.0093308883
.015556059,-.0094095059
.015571222,-.009416054
.015757851,-.009496606
.01577126,-.0095023755
.015785065,-.009508308
.015800862,-.0095150955
.015848568,-.0095355567
.015863029,-.0095417434
.015912062,-.0095627103
.015963428,-.0095846755
.016015597,-.0096069835
.016063109,-.0096273003
.016077783,-.0096335746
.016146578,-.0096628768
.016178625,-.0096765189
.016363848,-.0097551746
.016389797,-.0097661875
.016410414,-.0097749336
.016430672,-.009783525
.016444124,-.0097892294
.016530061,-.0098256348
.016589185,-.0098506669
.016603617,-.0098567745
.016628621,-.0098673422
