ln_wealth,log_hazard
16.795824,-2.3555408
16.79759,-2.3559997
16.798563,-2.3564589
16.798979,-2.3569181
16.801294,-2.3573782
16.802202,-2.3578379
16.802454,-2.3582981
16.804626,-2.3587582
16.804823,-2.3592184
16.805124,-2.3596797
16.805883,-2.3601406
16.805899,-2.3606014
16.80628,-2.3610628
16.806551,-2.3615248
16.808439,-2.3619864
16.809692,-2.3624482
16.811058,-2.3629103
16.811073,-2.3633733
16.811073,-2.3638356
16.811108,-2.3642983
16.811108,-2.3647614
16.812592,-2.3652251
16.81381,-2.3656883
16.814575,-2.366152
16.814592,-2.3666158
16.814692,-2.3670805
16.815136,-2.3675447
16.815214,-2.3680091
16.815285,-2.3684738
16.815285,-2.3689384
16.815783,-2.3694043
16.815783,-2.3698695
16.815783,-2.3703351
16.822578,-2.3708007
16.823429,-2.3712673
16.824219,-2.3717334
16.826244,-2.3721998
16.8281,-2.3726664
16.828396,-2.3731339
16.828444,-2.373601
16.832211,-2.3740683
16.832779,-2.3745356
16.834496,-2.3750041
16.834911,-2.3754718
16.835379,-2.3759401
16.839563,-2.3764083
16.841433,-2.3768775
16.843002,-2.3773463
16.843081,-2.3778152
16.843203,-2.3782845
16.843758,-2.3787539
16.844097,-2.3792243
16.844145,-2.3796942
16.844204,-2.3801641
16.844387,-2.3806345
16.845547,-2.3811057
16.846416,-2.3815765
16.851425,-2.3820474
16.851885,-2.3825188
16.852001,-2.3829908
16.852875,-2.3834624
16.85569,-2.3839343
16.856073,-2.3844066
16.856121,-2.3848794
16.860128,-2.3853519
16.860462,-2.3858247
16.860462,-2.3862977
16.86051,-2.3867717
16.860889,-2.3872449
16.860985,-2.3877187
16.860985,-2.3881927
16.861708,-2.3886666
16.862459,-2.3891418
16.863075,-2.3896163
16.863176,-2.3900912
16.863419,-2.3905661
16.86438,-2.391042
16.869852,-2.3915174
16.872009,-2.391993
16.872391,-2.3924692
16.876945,-2.3929458
16.878252,-2.3934224
16.879648,-2.393899
16.879883,-2.3943756
16.880116,-2.3948534
16.880209,-2.3953307
16.881142,-2.3958082
16.882069,-2.396286
16.882097,-2.3967645
16.882107,-2.3972428
16.882252,-2.3977213
16.884029,-2.3981998
16.886026,-2.3986788
16.887793,-2.3991585
16.895676,-2.3996379
16.896112,-2.4001174
16.896158,-2.4005973
16.896158,-2.401078
16.896158,-2.4015582
16.896158,-2.4020386
16.897007,-2.4025195
16.897215,-2.4030011
16.89871,-2.4034822
16.898979,-2.4039636
16.899162,-2.4044454
16.901312,-2.4049277
16.902864,-2.4054101
16.90287,-2.4058924
16.904186,-2.4063749
16.904278,-2.4068584
16.904642,-2.4073415
16.904737,-2.4078248
16.905279,-2.4083083
16.905781,-2.408792
16.907436,-2.4092767
16.907825,-2.409761
16.908098,-2.4102454
16.90855,-2.4107299
16.908823,-2.4112155
16.909594,-2.4117007
16.912769,-2.4121861
16.91371,-2.4126718
16.916594,-2.4131584
16.917982,-2.4136443
16.918114,-2.4141307
16.918587,-2.4146173
16.918854,-2.4151049
16.918884,-2.415592
